Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Turkish (TR)
Ushiromiya George,"""Ahahaha... It seems that way. I think I remember seeing this horrible picture, kind of like my entire body had been eaten apart and dismembered.""","""Ahahaha, ...it seems so. I think I remember seeing this horrible picture, kind of like my entire body had been eaten apart and dismembered."" ","""Ahahaha..., it seems so. I think I remember seeing this horrible picture, kind of like my entire body had been eaten apart and dismembered.""",「あっはっはっは…、どうもそうみたいだね。何だか、全身を食いちぎられてばらばらにされたみたいな、恐ろしい描写があったような気がするよ。」,「あっはっはっは…、どうもそうみたいだね。何だか、全身を食いちぎられてばらばらにされたみたいな、恐ろしい描写があったような気がするよ」,"""Аха‐ха‐ха... похоже, что так. Я до сих пор помню эту ужасную картину, как будто моё тело расчленили и съели по частям.""","""Ahahaha... Parece que foi mesmo. Eu acho que me lembro de ver essa imagem horrível, como se todo o meu corpo tivesse sido devorado e desmembrado.""",「啊哈哈哈…，好像是这样呢。我记得好像有全身被撕咬扯碎一样的恐怖描写呢。」,「啊哈哈哈…，好像是這樣呢。我記得好像有全身被撕咬扯碎一樣的恐怖描寫呢。」,"""Ahahaha... a quanto pare. Ricordo di aver vissuto questa scena orribile, dove il mio corpo veniva squarciato e smembrato.""","""Ahahahah... così pare. Ricordo che fosse una scena orribile, in cui il mio corpo veniva fatto a pezzi e poi smembrato.""","""Jajaja... Así parece ser. Creo recordar ver esta horrible imagen, algo así como si mi cuerpo entero hubiese sido consumido y descuartizado.""","""ﺃﻫﺎﻫﺎﻫﺎﻫﺎ... ﺫﻟﻚ ﺻﺤﻴﺢ. ﺃﻋﺘﻘﺪ ﺃﻧﻲ ﺃﺗﺬﻛﺮ ﺭﺅﻳﺔ ﻣﺸﻬﺪ ﻓﻀﻴﻊ، ﻛﺄﻧﻤﺎ ﻛﺎﻣﻞ ﺟﺴﺪﻱ ﻗﺪ ﺃﻛﻞ ﻭﻗﻄﻊ.""","""Ahahaha... Öyle görünüyor. Sanırım bu korkunç tabloyu gördüğümü hatırlıyorum, sanki tüm vücudum yenmiş ve parçalara ayrılmış gibiydi."""
Ushiromiya Battler,"""Speaking of which, don't you think Kanon‐kun's last moments were the coolest? Even though he had the tables turned on him, it was a showdown with the culprit, right? It's a whole bunch better than our confusing last moments!""","""Speaking of which, don't you think Kanon's last moments were the coolest? Even though he had the tables turned on him, it was a showdown with the culprit, right? It's a whole bunch better than our confusing last moments, right?"" ","""Speaking of which, don't you think Kanon's last moments were the coolest? Even though he had the tables turned on him, it was a showdown with the culprit, right? It's a whole bunch better than our confusing last moments, ri~ght?""",「それを言ったら、嘉音くんの最期が一番かっこよかったと思うぜぇ？　返り討ちとは言え、犯人と一騎打ちだろ？俺らのよくわからん最期よりは数段マシだぜ〜？」,「それを言ったら、嘉音くんの最期が一番かっこよかったと思うぜぇ？　返り討ちとは言え、犯人と一騎打ちだろ？　俺らのよくわからん最期よりは数段マシだぜ〜？」,"""Кстати говоря, вы не думаете, что последний миг Канона был очень крутым? И хотя преимущество оказалось совсем не на его стороне, это же был поединок с преступником, верно? Всяко лучше, чем наши последние вызывающие смятение моменты!""","""Falando nisso, você não acha que o Kanon‐kun teve os últimos momentos mais legais de todos? Mesmo que a mesa estivesse virada contra ele, foi um confronto direto com o culpado, não foi? É muito melhor do que os nossos últimos momentos completamente confusos!""",「要说这个的话，我觉得嘉音君的临终时刻是最帅气的哦。虽说最后被反杀了，但是和犯人单独对决了吧？比起我们一头雾水的临终不知道高到哪里去了啊。」,「要說這個的話，我覺得嘉音君的臨終時刻是最帥氣的哦。雖說最後被反殺了，但是和犯人單獨對決了吧？比起我們一頭霧水的臨終不知道高到哪裡去了啊。」,"""A proposito, non pensate che l'ultimo istante di vita di Kanon sia stato il migliore? Anche se la situazione gli si è ribaltata contro, è stato uno scontro col colpevole, no? È decisamente meglio dei nostri ultimi momenti di vita, gius~to?""","""A proposito, non pensate che gli ultimi momenti di Kanon-kun siano stati i migliori? Anche se la tua vendetta non si è compiuta, hai avuto un faccia a faccia col colpevole, no? Decisamente meglio dei nostri ultimi istanti in cui non capivamo una mazza, giusto?""","""Hablando de eso, ¿no creen que los últimos momentos de Kanon‐kun fueron geniales? Incluso con todo en contra, fue un enfrentamiento contra el culpable, ¿no? ¡Mucho mejor que nuestros confusos últimos momentos!""","""ﺑﺎﻟﺤﺪﻳﺚ ﻋﻦ ﺫﻟﻚ، ﺃﻻ ﺗﻌﺘﻘﺪﻭﻥ ﺃﻥ ﻟﺤﻈﺎﺕ ﻛﺎﻧﻮﻥ-ﻛﻦ ﺍﻷﺧﻴﺮﺓ ﻛﺎﻧﺖ ﺍﻷﺭﻭﻉ؟ ﺑﺎﻟﺮﻏﻢ ﻣﻦ ﺍﻧﻘﻼﺏ ﺍﻟﻄﺎﻭﻟﺔ ﻋﻠﻴﻪ، ﺇﻻ ﺃﻧﻪ ﺍﺳﺘﻄﺎﻉ ﻣﻮﺍﺟﻬﺔ ﺍﻟﻤﺠﺮﻡ. ﻫﺬﺍ ﺃﻓﻀﻞ ﺑﻜﺜﻴﺮ ﻣﻦ ﻟﺤﻈﺎﺗﻨﺎ ﺍﻷﺧﻴﺮﺓ ﺍﻟﻤﺜﻴﺮﺓ ﻟﻠﺤﻴﺮﺓ.""","""Bu arada, sizce de Kanon-kun'un son anları çok havalı değil miydi? Durum aleyhine gelişmiş olsa da, bu suçlu ile yaptığı bir hesaplaşma değil miydi? Bizim kafa karıştırıcı son anlarımızdan çok daha iyi!"""
Kanon,""".........Though, in the end, I was no match for her.""","""...Though, in the end, I was unable to get a solid hit in."" ",""".........Though, in the end, I was unable to get a solid hit in.""",「………結局、何も歯が立ちませんでしたが。」,「………結局、何も歯が立ちませんでしたが」,""".........Как бы то ни было, в конечном итоге, я не смог противостоять ей.""",""".........Embora, no fim, eu não tenha sido páreo para ela.""",「………结果，我根本不是犯人的对手。」,「………結果，我根本不是犯人的對手。」,"""... Però, alla fine, non ho potuto fornirvi un indizio valido.""","""...Anche se alla fine, non sono riuscito a scalfirlo.""","""Aunque, al final, no fui rival ante ella.""","""...ﻟﻜﻦ ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ، ﻟﻢ ﺃﺳﺘﻄﻊ ﻣﺠﺎﺭﺍﺗﻬﺎ.""",""".........Her ne kadar sonunda onunla boy ölçüşemesem bile."""
Shannon,"""Still, ...I think that Kanon‐kun's death was a big hint. I mean, because of that, it became clear that a 19th person existed.""","""Still, ...I think Kanon-kun's death was a big hint. After all, because of that, the existence of the 19th person was made clear."" ","""Still, ...I think that Kanon-kun's death was a big hint. After all, because of that, the existence of the 19th person was made clear.""",「でも、…嘉音くんの死は大きなヒントになったと思うな。だって、あのせいで、１９人目の存在が明らかになったんだから。」,「でも、…嘉音くんの死は大きなヒントになったと思うな。だって、あのせいで、１９人目の存在が明らかになったんだから」,"""И всё же... я думаю, смерть Канон‐куна была серьёзной подсказкой. В конце концов, после этого стало абсолютно ясно, что существует 19‐й человек.""","""Mesmo assim, ...eu acho que a morte do Kanon‐kun foi uma grande dica. Quero dizer, por causa dela, ficou claro que existe uma 19ª pessoa.""",「不过，…我觉得嘉音君的死是个重大的提示哦。因为这表明了，确实有第十九人存在呢。」,「不過，…我覺得嘉音君的死是個重大的提示哦。因為這表明了，確實有第十九人存在呢。」,"""Ma …penso che la stessa morte di Kanon-kun sia stata un grosso indizio. {n}Dopotutto, grazie ad essa, l'esistenza di una diciannovesima persona è stata resa chiara.""","""Però... penso che la morte di Kanon-kun sia stata un grosso indizio.{n}Dopotutto, grazie ad essa, è stato reso evidente che esistesse una 19ª persona.""","""Aun así... creo que la muerte de Kanon‐kun fue una pista importante. Quiero decir, debido a ello, estuvo más que claro que una 19.ª persona existía.""","""ﻣﻊ ﺫﻟﻚ، ... ﺃﻋﺘﻘﺪ ﺃﻥ ﻣﻮﺕ ﻛﺎﻧﻮﻥ-ﻛﻦ ﺃﻋﻄﻰ ﺗﻠﻤﻴﺤﺎ ﻛﺒﻴﺮﺍ... ﻓﻔﻲ ﻧﻬﺎﻳﺔ ﺍﻟﻤﻄﺎﻑ ﻣﻮﺗﻪ ﻗﺪ ﺃﻭﺿﺢ ﻭﺟﻮﺩ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﺳﻊ ﻋﺸﺮ.","""Yine de, ...Kanon-kun'un ölümünün büyük bir ipucu olduğunu düşünüyorum. Demek istediğim, bu sayede 19. kişinin var olduğu netleşti."""
Ushiromiya George,"""Yes. At that time, everyone's location was obvious. So it was impossible for anyone other than some unknown 19th person to kill Kanon‐kun.""","""That's right. At that time, everyone's location was obvious. So it was impossible for anyone other than some unknown 19th person to kill Kanon."" ","""That's right. At that time, everyone's location was obvious. So it was impossible for anyone other than some unknown 19th person to kill Kanon.""",「そうだね。あの時点では全員の所在が明らかだった。だから嘉音くんを殺せるのは、未知の１９人目しかありえない。」,「そうだね。あの時点では全員の所在が明らかだった。だから嘉音くんを殺せるのは、未知の１９人目しかありえない」,"""Верно. В то время местонахождение всех людей было очевидным. Таким образом, убить Канона было невозможно для всех, кроме неизвестного 19‐го человека.""","""Sim. Naquele momento, a localização de todos era óbvia. Então é impossível para qualquer um, além de uma desconhecida 19ª pessoa, ter matado o Kanon‐kun.""",「是啊。那段时间所有人的位置都是明确的。所以能杀害嘉音君的，只可能是未知的第十九人。」,「是啊。那段時間所有人的位置都是明確的。所以能殺害嘉音君的，只可能是未知的第十九人。」,"""Esatto. In quell'istante, la posizione di tutti quanti era certa. Perciò era impossibile per chiunque di noi a parte per una sconosciuta diciannovesima persona uccidere Kanon.""","""Giusto. In quel frangente, la posizione di tutti era chiara. Perciò, uccidere Kanon-kun era impossibile per ciascuno di noi, tranne una 19ª persona ignota.""","""Sí. En aquel momento, la ubicación de todo el mundo era obvia. Así que era imposible que alguien más que una 19.ª persona desconocida matase a Kanon‐kun.""","""ﺑﺎﻟﻔﻌﻞ. ﻛﺎﻧﺖ ﺃﻣﺎﻛﻦ ﺍﻟﺠﻤﻴﻊ ﻭﺍﺿﺤﺔ ﻓﻲ ﺫﻟﻚ ﺍﻟﺤﻴﻦ. ﺃﻱ ﺃﻥ ﻣﻦ ﺍﻻﺳﺘﺤﺎﻟﺔ ﻷﻱ ﺷﺨﺺ ﻗﺘﻞ ﻛﺎﻧﻮﻥ، ﺇﻻ ﻟﻮ ﻛﺎﻥ ﺷﺨﺼﺎ ﺗﺎﺳﻊ ﻋﺸﺮ ﻧﺠﻬﻠﻪ.""","""Evet, doğru. O sırada herkesin yeri belliydi. Bu yüzden Kanon-kun'u bilinmeyen 19. bir kişiden başkasının öldürmesi imkansızdı."""
Ushiromiya Maria,"""Uu! I did say it was {f:5:Beatrice} from the beginning, over and oooover. Uu!""","""Uu-! I said it was {f:5:Beatrice} from the beginning, over and over. Uu-!"" ","""Uu-! Maria said it was Beatrice from the beginning, o-ver and o-ver. Uu-!""",「うー！　真里亞は最初からベアトリーチェだって、ずーっと言ってるー。うー！」,[=JP],"""У‐у! Я с самого начала говорила, что это {f:5:Беатриче}, снова и сно‐о‐ова. У‐у!""","""Uu! A Maria disse desde o início que foi a {f:5:Beatrice}, várias e vááááárias vezes. Uu!""",「呜——！真里亚一开始就说了是贝阿朵莉切，一直都在说——。呜——！」,「嗚——！真里亞一開始就說了是貝阿朵莉切，一直都在說——。嗚——！」,"""Uu-! Maria ha detto che è stata Beatrice sin dall'inizio, sempre e sempre. Uu-!""","""Uuh! Maria ha detto che era stata {f:5:Beatrice} fin dall'inizio, lo ha sempre detto! Uuh!""","""¡Uu! María les dijo que era {f:5:Beatrice} desde el principio, una y ooootra vez. ¡Uu!""","""ﺃﻭﻭ-! ﻣﺎﺭﻳﺎ ﻗﺎﻟﺖ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ ﺃﻧﻬﺎ ﻛﺎﻧﺖ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}. ﺃﻭﻭ-!""","""Uu! Maria başından beri {f:5:Beatrice} olduğunu teeekrar ve tekrar söyledi. Uu!"""
Ushiromiya Jessica,"""......I don't wanna believe it, but that does prove the culprit was a witch calling herself {f:5:Beatrice}.""","""...I don't wanna believe it, but that does prove the culprit was a witch calling herself {f:5:Beatrice}."" ","""......I don't wanna believe it, but that does prove the culprit was a witch calling herself Beatrice.""",「……信じたくはねぇけど、ベアトリーチェを名乗る、魔女が犯人ってことになるんだろうぜ。」,「……信じたくはねぇけど、ベアトリーチェを名乗る、魔女が犯人ってことになるんだろうぜ」,"""......Мне не хочется в это верить, но это доказывает, что преступник — ведьма, зовущая себя {f:5:Беатриче}.""","""......Eu não queria acreditar, mas isso prova que o culpado foi uma bruxa que intitula a si mesma como {f:5:Beatrice}.""",「……虽说是不愿这么相信，但犯人应该就是自称贝阿朵莉切的魔女了吧。」,「……雖說是不願這麼相信，但犯人應該就是自稱貝阿朵莉切的魔女了吧。」,"""... Non voglio crederci, ma questo significa che il colpevole era la strega che si faceva chiamare Beatrice.""","""...Stento a crederci, ma questo prova che il colpevole era la strega che si fa chiamare {f:5:Beatrice}.""","""No lo quiero creer, pero sí que demuestra que el culpable era una bruja llevando el nombre de {f:5:Beatrice}.""","""......ﻻ ﺃﻭﺩ ﺗﺼﺪﻳﻖ ﺫﻟﻚ، ﻟﻜﻦ ﻫﺬﺍ ﻳﺜﺒﺖ ﺃﻥ ﺍﻟﺠﺎﻧﻲ ﻛﺎﻥ ﺳﺎﺣﺮﺓ ﺗﺪﻋﻮ ﻧﻔﺴﻬﺎ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}.""","""......İnanmak istemiyorum ama bu, {f:5:Beatrice}'in kendine cadı diyen bir suçlu olduğunu kanıtlıyor."""
Shannon,"""That's right... There were many strange things that happened which a human couldn't do...""","""That's right... There were many strange things that happened...that a human couldn't do..."" ","""That's right... There were many strange things that happened...which a human couldn't do...""",「そうですよね…。人にはできない、不思議なことがいっぱいありましたし…。」,「そうですよね…。人にはできない、不思議なことがいっぱいありましたし…」,"""Согласна... Много всего случилось странного, чего человеку сделать не под силу...""","""Isso mesmo... Aconteceram muitas coisas estranhas que não poderiam ter sido feitas por um humano...""",「说得是呢…。毕竟发生了好多人类做不到的，不可思议的事…」,「說得是呢…。畢竟發生了好多人類做不到的，不可思議的事…」,"""Esatto... sono successe molte cose strane, che un umano non avrebbe potuto fare...""","""Ha ragione... Sono successe parecchie cose strane, che un umano non avrebbe mai potuto compiere...""","""Así es... Sucedieron demasiadas cosas extrañas que un humano no podría hacer...""","""ﺻﺤﻴﺢ... ﻓﻘﺪ ﺣﺪﺛﺖ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻷﻣﻮﺭ ﺍﻟﻐﺮﻳﺒﺔ... ﻭﺍﻟﺘﻲ ﻳﺼﻌﺐ ﻋﻠﻰ ﺍﻹﻧﺴﺎﻥ ﻓﻌﻠﻬﺎ...""","""Bu doğru... Bir insanın yapamayacağı birçok garip şey oldu..."""
Ushiromiya Maria,"""Uu. Only a witch could do things like Auntie Eva's locked‐room murder. A human couldn't do that! Uu!""","""Uu-. Only a witch could do things like murdering Aunt Eva in that closed room. A human couldn't do it! Uu-!"" ","""Uu-. Only a witch could do things like murdering Eva oba-san in that closed room. A human couldn't do it! Uu-!""",「うー。絵羽伯母さんの密室殺人とか、魔女にしかできない。人間にはできない！　うー！」,[=JP],"""У‐у. Только ведьма могла убить тётю Еву в запертой комнате. Обычным людям это не под силу! У‐у!""","""Uu. Só uma bruxa poderia fazer algo como matar a tia Eva em um quarto fechado. Um humano não poderia fazer aquilo! Uu!""",「呜——。比如绘羽姨母那次密室杀人，就只有魔女做得到。人类是做不到的！呜——！」,「嗚——。比如繪羽姨母那次密室殺人，就只有魔女做得到。人類是做不到的！嗚——！」,"""Uu-. Solo una strega poteva fare cose come uccidere Eva oba-san in quella stanza chiusa. Un umano non avrebbe potuto farlo! Uu-!""","""Uuh. Solo una strega poteva uccidere zia Eva in quella camera chiusa, ad esempio. Non avrebbe potuto farlo un umano! Uuh!""","""Uu. Solo una bruja podría hacer cosas como el asesinato de la habitación cerrada de la tía Eva. ¡Un humano no podría hacer eso! ¡Uu!""","""ﺃﻭﻭ-، ﻭﺣﺪﻫﺎ ﺍﻟﺴﺎﺣﺮﺓ ﺗﺴﺘﻄﻴﻊ ﻗﺘﻞ ﻋﻤﺘﻲ ﺇﻳﻔﺎ ﻓﻲ ﺗﻠﻚ ﺍﻟﻐﺮﻓﺔ ﺍﻟﻤﻐﻠﻘﺔ. ﻻ ﻳﺴﺘﻄﻴﻊ ﺍﻟﺒﺸﺮ ﻓﻌﻠﻬﺎ! ﺃﻭﻭ-!""","""Uu. Eva Teyze'nin kilitli oda cinayeti gibi şeyleri sadece bir cadı yapabilir. Bir insan bunu yapamaz! Uu!"""
Kanon,"""............Not only is it clear that a 19th person exists, but it is also obvious that this person holds a power that humans can't even imagine.""","""...Not only is the existence of a 19th person clear, but it's also obvious that this person holds a power that humans can't even imagine."" ","""............Not only is the existence of a 19th person clear, but it is also obvious that this person holds a power that humans can't even imagine.""",「…………１９人目が存在することが明らかで、しかもその人物は人間では考えられない力を持っている。」,「…………１９人目が存在することが明らかで、しかもその人物は人間では考えられない力を持っている」,"""............Ясно не только существование 19‐го человека, но и то, что этот человек обладает силой, которую люди себе даже представить не могут.""","""............Não só está claro que existe uma 19ª pessoa, mas também que é fato que essa pessoa possui poderes que humanos sequer podem imaginar.""",「…………显然有第十九人存在，而且这个人物拥有人类无法想象的力量。」,「…………顯然有第十九人存在，而且這個人物擁有人類無法想像的力量。」,"""... Non solo l'esistenza di una diciannovesima persona è chiara, ma è anche ovvio che questa persona possiede un potere che gli umani neanche si immaginano.""","""...Non solo è stata chiarita l'esistenza di una 19ª persona, ma è anche ovvio che questo individuo possegga poteri che gli umani non possono neanche concepire.""","""... No solo está claro que una 19.ª persona existe, también es obvio que esta persona tiene un poder que los humanos no pueden ni imaginar.""",""".....ﻭﺟﻮﺩ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﺳﻊ ﻋﺸﺮ ﻭﺍﺿﺢ، ﻭﻻ ﺃﺗﺼﻮﺭ ﺃﻧﻪ ﺷﺨﺺ ﺑﺸﺮﻱ، ﻻ ﺑﺪ ﻭﺃﻧﻪ ﻳﻤﻠﻚ ﻗﻮﺓ ﻣﺎ...""","""............Sadece 19. kişinin var olduğu açık değil, aynı zamanda bu kişinin insanların hayal bile edemeyeceği bir güce sahip olduğu da açık."""
Ushiromiya Jessica,"""In that case, I don't think there's anything wrong with calling this person {f:5:Beatrice}.""","""In that case, I don't think there's anything wrong with calling this person {f:5:Beatrice}."" ","""In that case, I don't think there's anything wrong with calling this person Beatrice.""",「となれば、その人物をベアトリーチェと呼んでも、差し支えはねぇだろうぜ。」,「となれば、その人物をベアトリーチェと呼んでも、差し支えはねぇだろうぜ」,"""В таком случае, думаю, нет ничего плохого в том, что мы назовём этого человека {f:5:Беатриче}.""","""Nesse caso, eu não vejo problema em chamar essa pessoa de {f:5:Beatrice}.""",「如此说来，就算称这个人物为贝阿朵莉切，也无妨吧。」,「如此說來，就算稱這個人物為貝阿朵莉切，也無妨吧。」,"""In questo caso, non c'è niente di male a chiamare questa persona Beatrice.""","""In tal caso, penso non ci siano problemi se chiamiamo questo individuo col nome di ‘{f:5:Beatrice}’.""","""En ese caso, no creo que haya nada malo en llamar a esta persona {f:5:Beatrice}.""","""ﻓﻲ ﻫﺬﻩ ﺍﻟﺤﺎﻟﺔ، ﻻ ﻳﻮﺟﺪ ﻣﺎ ﻳﻤﻨﻌﻨﺎ ﻣﻦ ﺩﻋﻮﺗﻪ ﺑﺎﺳﻢ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}.""","""Bu durumda, bu kişiye {f:5:Beatrice} demenin yanlış bir şey olduğunu düşünmüyorum."""
